Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Occupied description,Reaons Empty,Empty from,Mandatory Reliefs,Date From,DISC Reliefs,Date From,Retail Relief,Other Reliefs,Date From, Total Net Liability ,Local Reval Relief
1,,"A1 Tyres, Kensington Street, Keighley, BD21 1PW",BD21 1PW,53.8629,-1.91625,1990-04-01,3900,IF3,WORKSHOP AND PREMISES,2017-10-01,Y,Occupied,,,Small Business Rates Relief,01/10/2017,,,,,, ‹¨«-   ,
3,,"52, Cross Roads, Keighley, BD22 9BA",BD22 9BA,53.83696,-1.9301,1990-04-01,5400,CS,SHOP AND PREMISES,1998-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
5,St John The Evangelist Academy,"St John Rc First School, Beacon Road, Bradford, BD6 3DQ",BD6 3DQ,53.77084,-1.80146,1990-04-01,25250,EL,SCHOOL AND PREMISES,2016-10-01,Y,Occupied,,,Mandatory Charity Relief,01/10/2016,,,,,," ‹¨«2,545.20 ",
11,Kehoe'S Limited,"The Venue, Park Lane, Bradford, BD5 0JL",BD5 0JL,53.78453,-1.75915,1990-04-01,6250,CL,PUBLIC HOUSE AND PREMISES,2016-04-01,,Empty,Empty Charge Retail,01/07/2016,,,,,,,," ‹¨«3,150.00 ",
12,,"Unit Q, Blackshaw Mills, Halifax Road, Bradford, BD6 2HL",BD6 2HL,53.75757,-1.80099,1990-04-01,4250,IF3,WORKSHOP AND PREMISES,2019-08-26,Y,Occupied,,,Small Business Rates Relief,26/08/2019,,,,,, ‹¨«-   ,
13,Crossflatts Old People Association,"Community Centre, St Aidans Square, Crossflatts, Bingley, BD16 2BN",BD16 2BN,53.86139,-1.84458,1990-04-01,2800,LC,COMMUNITY CENTRE AND PREMISES,2011-04-01,Y,Occupied,,,Mandatory Charity Relief,01/04/2011,,,,,, ‹¨«282.24 ,
14,Bingley Chamber Of Trade And Commerce,"Store, Queens Court, Bingley, BD16 2LT",BD16 2LT,53.8485,-1.83902,1990-04-01,1475,CW3,STORE AND PREMISES,2017-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2017,,,,,, ‹¨«-   ,
15,,"Stables Rear Of, 62, Branksome Drive, Shipley, BD18 4BE",BD18 4BE,53.83643,-1.81159,1990-04-01,900,LX,STABLES AND PREMISES,1992-01-03,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
19,,"14, Highgate, Bradford, BD9 4BB",BD9 4BB,53.81583,-1.78628,1990-04-01,4400,CS,,2016-10-01,Y,Occupied,,,Small Business Rates Relief,01/10/2016,,,,,, ‹¨«-   ,
35,Cobley And Cockshott Ltd,"19, Bridge Street, Keighley, BD21 1AA",BD21 1AA,53.86508,-1.91071,1990-04-01,3550,CS,SHOP AND PREMISES,2006-08-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
44,,"84, Kirkgate, Silsden, Keighley, BD20 0PA",BD20 0PA,53.91376,-1.93751,1990-04-01,4100,CS,SHOP AND PREMISES,2012-01-01,Y,Occupied,,,Small Business Rates Relief,01/04/2012,,,,,, ‹¨«-   ,
