Name ,Postcode,Latitude,Longitude,Type,Telephone,Website
Ilkley Town Centre ,LS29 8HF,53.924673,-1.8223324,Market,,https://m.facebook.com/ilkleyfoodmarket/?fref=nf
Millennium Square,LS2 3AD,53.800964,-1.5480593,Market,0113 3950891,http://www.leeds.gov.uk/Events/Pages/leeds-christkindelmarkt.aspx
Otley Market Square,LS21 3AQ,53.905604,-1.6940257,Market,0113 378 1950,http://www.visitotley.co.uk
Leeds Kirkgate Market,LS2 7HY,53.79763,-1.5386368,Market,0113 378 1950,http://www.leedsmarkets.co.uk
Pudsey Market,LS2 7HY,53.79763,-1.5386368,Market,0113 214 5177,www.leedsmarkets.co.uk
Yellow Sunrise,LS1 7BR,53.795991,-1.5402033,Shop,0113 234 1107,http://www.yellowsunrise.co.uk
Red Tattoo and Piercing,LS1 7BR,53.795991,-1.5402033,Shop,0113 242 0413,http://www.redtattooandpiercing.com
Shabby Chic Boutique,LS1 6LF,53.798292,-1.5427287,Shop,0113 2433303,
Pylones,LS1 6LF,53.798292,-1.5427287,Shop,0113 2342605,http://www.pylones.com/en
Bead Hive,LS1 7BR,53.795991,-1.5402033,Shop,0113 2340363,http://www.bead-hive.co.uk
Handpicked Hall,LS1 6PG,53.800252,-1.5403996,Shop,,
Bayliffe & Lupton,LS1 6BN,53.79844,-1.5414063,Shop,0113 243 2324,
Welcome Skate Store,LS1 6LQ,53.798616,-1.5427404,Shop,0113 2340185,http://welcomeleeds.com/
Mellow Moments,LS1 6LQ,53.798616,-1.5427404,Shop,0113 234 6779,
Rebecca Jade's Vintage Shop,LS18 4NW,53.832027,-1.6382977,Shop,07513 035211,http://www.leedsvintage.com/
On The Wall,LS1 6EN,53.79566,-1.5430913,Shop,0113 2469202,http://www.onthewall.co.uk
Twit-Woo Vintage Boutique,LS1 7BR,53.795991,-1.5402033,Shop,01132 461 331,http://www.facebook.com/twitwoovintage
Summerhouse,LS1 6PG,53.800252,-1.5403996,Shop,07736 681275,https://loftleeds.wordpress.com/
Leeds Art Gallery,LS1 3AA,53.800362,-1.5481416,Shop,0113 247 8256,http://www.leeds.gov.uk/artgallery
Simcha Gallery,LS1 7BR,53.795991,-1.5402033,Shop,07967 750 588,http://www.simchagallery.co.uk
White Stuff,LS1 7JH,53.798424,-1.5395239,Shop,0113 2429586,http://www.whitestuff.com/shop/leeds
The Juju Shop,LS1 6BR,53.796789,-1.5420922,Shop,0113 3184957,http://www.thejujushop.com
The Light,LS1 8TL,53.800047,-1.5456399,Shop,0113 218 2060,http://www.predatornutrition.com/
Rose and Co Apothecary Leeds,LS1 6BN,53.79844,-1.5414063,Shop,0113 245 4701,www.rose-apothecary.co.uk
Aqua,LS1 6AZ,53.797891,-1.541139,Shop,0113 243 3336,http://www.aquacouture.co.uk
The Corn Exchange,LS1 7BR,53.795991,-1.5402033,Shop,0113 234 0363,http://www.leedscornexchange.co.uk
Louis Vuitton,LS1 6NP,53.798648,-1.5417076,Shop,0113 386 3120,
Dark Arches,LS1 4BR,53.793741,-1.5489566,Shop,0113 242 5242,www.visitleeds.co.uk
Liz Earle,LS1 6BE,53.798232,-1.5410442,Shop,0113 288 5940,http://www.lizearle.co.uk
Moorcroft,LS1 6BW,53.79836,-1.5415438,Shop - Antiques,0113 234 6363,http://www.moorcroft.com
The Light,LS1 8TL,53.800047,-1.5456399,Shop - Arts & Craft,0113 218 2060,http://www.fabric-ation.co.uk/
Fabrication,LS1 8TL,53.800047,-1.5456399,Shop - Arts & Craft,0113 243 910,http://www.fabric-ation.co.uk
Cootchie-Coo,LS1 6BH,53.798365,-1.5405569,Shop - Baby/Children,0113 2460206,http://www.cootchie-coo.com
Village Bookstore,LS1 7BR,53.795991,-1.5402033,Shop - Book,0113 246 9801,http://www.villagebookstore.co.uk
Radish,LS7 4NZ,53.830749,-1.538182,Shop - Book,0113 2694241 ,www.radishweb.co.uk
Waterstone's Leeds,LS1 5JS,53.798816,-1.5458202,Shop - Book,0113 244 4588,http://www.waterstones.com
Berketex Bride,LS1 6LH,53.798336,-1.542379,Shop - Bridalwear,0113 2467800,http://www.berketexbride.com/
The Leeds Gift Book,LS1 1PL,,,Charity,0113 242 5242,
Otley Run Fancy Dress,LS12 3QY,53.797392,-1.6028124,Shop - Costume Hire,07542 914 077   ,http://www.otleyrunfancydress.co.uk/
House of Fraser Leeds,LS1 6LS,53.799127,-1.544663,Shop - Department Store,0844 800 3739,www.houseoffraser.co.uk
Debenhams Leeds,LS1 6LX,53.797579,-1.5417648,Shop - Department Store,0844 561 6161,www.debenhams.com
Swithens Farm,LS26 0BT,53.738845,-1.4746659,Shop - Farm,0113 2828828,
Dirty Girl Male Boutique,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 243 2444,
MKi,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 2468 917,http://www.mkistore.co.uk/index.php
Little Pink Jewellery House,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 234 1107,http://leedscornexchange.co.uk/shops/little-pink-jewellery-house
Lou Lou Puchalka,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,0113 242 2453,https://plus.google.com/115831383232366522592/about?gl=uk&hl=en
Candy Candy,LS1 7BR,53.795991,-1.5402033,Shop - Fashion,01132 454 955,http://www.candycandyjewellery.co.uk
Tunnel,LS1 6LF,53.798292,-1.5427287,Shop - Fashion,0113 2439996,
