Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Adel Beck Secure Unit,53.8528,-1.57214,East Moor Lane,Adel,,Leeds,West Yorkshire,LS16 8EB,GB,,,,,,
Apex Centre,53.78518769,-1.543707039,8 Apex Way,,,Leeds,West Yorkshire,LS11 5LT,GB,Active,SingleSpot,10,No Restrictions,WPA2,1
Albion House,53.85853,-1.68687,Rawdon Park,"Rawdon, Yeadon",,Leeds,West Yorkshire,LS19 7XX,GB,,,,,,
Arthington Court,53.77267,-1.53123,Arthington Court,Hunslet,,Leeds,West Yorkshire,LS10 2LW,GB,,,,,,
Leeds Civic Hall,53.80226965,-1.548494218,Calverley Street,,,Leeds,West Yorkshire,LS1 1UR,GB,Active,SingleSpot,50,No Restrictions,WPA2,1
Carriageworks Theatre,53.80122324,-1.547895253,3 Millenium Square,,,Leeds,West Yorkshire,LS2 3AD,GB,Active,Area,,No Restrictions,WPA2,1
Garforth Library and One Stop Centre,53.79191339,-1.388125926,Lidgett Lane,Garforth,,Leeds,West Yorkshire,LS25 1EH,GB,Active,Area,,No Restrictions,WPA2,1
Abbey House Museum,53.82238406,-1.607118964,Abbey Walk,,,Leeds,West Yorkshire,LS5 3EH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Aberfield Gate Housing Office (BITMO),53.7567338,-1.527326286,Aberfield Gate,,,Leeds,West Yorkshire,LS10 3QH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Acorn Lodge Children's Unit,53.80147842,-1.58962661,Rombalds Avenue,Armley,,Leeds,West Yorkshire,LS12 2BA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Adams Court,53.79056567,-1.568253994,Whitehall Road E,,,Leeds,West Yorkshire,LS12 1DB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Aireborough Leisure Centre,53.87262861,-1.707903028,The Green,Guiseley,,Leeds,West Yorkshire,LS20 9BT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Ardsley and Tingley Library,53.72558195,-1.550794692,213 Bradford Road,East Ardsley,,Leeds,West Yorkshire,WF3 2DL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
The Arium,53.8393213,-1.43424998,Thorner Lane,Scarcroft,,Leeds,West Yorkshire,LS14 3FB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds Industrial Museum at Armley Mills,53.80294145,-1.582877042,Canal Road,Armley,,Leeds,West Yorkshire,LS12 2QF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Armley Moor Early Years Centre,53.79607605,-1.593990314,Station Road,Armley,,Leeds,West Yorkshire,LS12 3EY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Armley Leisure Centre,53.79576747,-1.591446417,Carr Crofts,Armley,,Leeds,West Yorkshire,LS12 3HB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Armley One Stop Centre and Library,53.79712966,-1.588046426,2 Stockshill,Armley,,Leeds,West Yorkshire,LS12 1UQ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds Art Gallery,53.79996232,-1.548108697,The Headrow,,,Leeds,West Yorkshire,LS1 3AA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Artemis,53.78904976,-1.551485658,45 Marshall street,,,Leeds,West Yorkshire,LS11 9RZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Farnley Hall,53.78744697,-1.627525187,Hall Lane,,,Leeds,West Yorkshire,LS12 5HA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Barleyfields Community Centre,53.93133555,-1.388850588,Crossley street,Wetherby,,Leeds,West Yorkshire,LS22 6RT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
