Centre,Address,Latitude,Longitude,Telephone ,Ward,Area Support,Area Committee,Hall,Stage,Changing room,Bar,Kitchen,Offices / Rooms,IT suite,Car Park
Allerton Bywater Miners Welfare Hall,"30-38 Station Road, Wakefield WF10 2BP",53.743727,-1.365299,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Allerton Bywater Youth & Adult Centre,"Leeds Road, Allerton Bywater, WF10 2DP",53.747587,-1.3730199,0113 224 3850 (Lettings),Kippax & Methley,South & Outer East AMT,Outer East,No,No,No,No,Yes,Yes,No,Yes
Bangladesh Centre Leeds ,"Roundhay Road, Leeds LS8 5AN",53.813873,-1.5207345,0113 235 0948,Gipton & Harehills,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Barleyfields Youth Centre,"Barleyfields Road, Wetherby LS22 6PN",53.932685,-1.3883136,0113 224 3850 (Lettings),Wetherby,East & North East AMT,Outer North East,Yes,No,No,No,Yes,Yes,No,Yes
Better Leeds Communities ,"42 – 46 Burley Lodge Road, Burley, Leeds LS6 1QF",53.807178,-1.5733822,0113 275 4142,Hyde Park & Woodhouse,West & North West AMT,Inner North West,No,No,No,No,Yes,Yes,Yes,No
Blackburn Hall,"Commercial Street, Rothwell, Leeds LS26 0AW",53.74858,-1.4768343,0113 224 3850 (Lettings),Rothwell,South & Outer East AMT,Outer South,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Bramley Community Centre,"Waterloo Lane, Bramley, Leeds LS13 2JB",53.813126,-1.6269484,0113 224 3850 (Lettings),Bramley & Stanningley,West & North West AMT,Inner West,Yes,No,No,No,Yes,Yes,Yes,Yes
Calverley Mechanics Institute,"Thornhill Street, Calverley, Leeds LS28 5NQ",53.828791,-1.6862899,0113 224 3850 (Lettings),Calverley & Farsley,West & North West AMT,Outer West,Yes,Yes,No,No,Yes,Yes,No,No
Churwell Community Centre ,"Elland Road, Churwell, Leeds LS27 7SY",53.762443,-1.586001,0113 214 6111,Morley North,South & Outer East AMT,Outer South,No,No,No,No,Yes,Yes,No,Yes
Cross Green Community Centre,"Cross Green, Otley, Leeds LS21 1HD",53.90577,-1.6889255,0113 224 3850 (Lettings),Otley & Yeadon,West & North West AMT,Outer North West,Yes,No,No,No,Yes,Yes,No,Yes
Crossgates Community Centre,"Maryfield Avenue, Crossgates, Leeds LS15 7TU",53.807751,-1.4651951,0113 232 6180,Killingbeck & Seacroft,East & North East AMT,Inner East,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Dame Fanny Waterman Community Centre,"Coldcotes Grove, Leeds LS9 6QJ",53.807244,-1.4913658,0113 224 3850 (Lettings),Gipton & Harehills,East & North East AMT,Inner East,Yes,No,No,No,Yes,Yes,No,Yes
Deepdale Community Centre,"Deepdale Lane, Boston Spa, Leeds LS23 6EH",53.907633,-1.3584643,01937 842345,Wetherby,East & North East AMT,Outer North East,Yes,No,No,No,Yes,No,No,No
Denis Healey Centre,"Foundry Mill Street, Seacroft, Leeds LS14 6RD",53.813788,-1.4707529,0113 224 3850 (Lettings),Killingbeck & Seacroft,East & North East AMT,Inner East,Yes,No,Yes,No,Yes,Yes,Yes,Yes
