Name,Postcode,Latitude,Longitude,Type,Telephone number,Website
The Botanist,LS1 6HW ,53.796005,-1.5440288,Bar,0113 205 3240,http://www.thebotanist.uk.com
Rare,LS1 6LY,53.795333,-1.5422144,Bar,0113 246 7013,http://eatdrinkrare.com/
Roland's,LS1 7BT,53.795256,-1.5408793,Bar,0113 318 2964,https://twitter.com/RolandsLeeds
LAB,LS2 8BT,53.802313,-1.5435656,Bar,0113 8877281     ,http://www.lab-leeds.co.uk/
The Brotherhood of Pursuits and Pastimes,LS1 6NU,53.799851,-1.5412239,Bar,01132 434 060,http://www.thisisthebrotherhood.com/
Manahatta,LS1 6PG,53.800252,-1.5403996,Bar,0113 2456275,http://www.arcinspirations.com
Bar Soba,LS1 6PQ,53.800484,-1.5400023,Bar,0113 242 5128,http://www.barsoba.co.uk/
Bilbao Bar,LS1 4BR,53.793741,-1.5489566,Bar,0113 245 4323,http://www.bilbaobar.co.uk
The Living Room,YO1 6DD,53.957172,-1.0846953,Bar,01904 461000,www.thelivingroom.co.uk
Be At One Leeds,LS2 3AD,53.800964,-1.5480593,Bar,0113 887 2784,http://www.beatone.co.uk/cocktail-bar/leeds
Grosvenor Casino Leeds Westgate,LS3 1LW,53.798267,-1.5625567,Bar,0113 3893700,http://www.grosvenorcasinos.com/local-casinos/leeds-westgate
North Brewing Co,LS7 1AH,53.805585,-1.5342675,Bar,0113 345 3290,http://www.northbrewing.com/
Mr Foley's Cask Ale House,LS1 5RG,53.799268,-1.5488973,Bar,0113 242 9674,
Musiquarium,LS5 3BT,53.813341,-1.6067776,Bar,0113 345 3356,
The Arc,LS6 3JJ,53.820814,-1.581492,Bar,0113 2752223,
Hirst's Yard,LS1 6NJ,53.795755,-1.5419517,Bar,0113 2459637,http://www.hirstsyard.co.uk
Hop Leeds,LS1 4BR,53.793741,-1.5489566,Bar,01924 261333,
North Bar,LS1 6NU,53.799851,-1.5412239,Bar,0113 242 4540,http://www.northbar.com
Chilli White,LS2 7DA,53.795488,-1.5404517,Bar,0113 219 4001,http://www.chilliwhite.com/
Tiger Tiger,LS2 8DY,53.800047,-1.5456399,Bar,0113 2366999,http://www.tigertiger.co.uk/leeds/
Oporto,LS1 7BT,53.795256,-1.5408793,Bar,0113 2434008,www.oportobar.co.uk
Verve ,LS1 6PQ,53.800484,-1.5400023,Bar,0113 2442272,
Sela Bar,LS1 6NU,53.799851,-1.5412239,Bar,0113 2429442,
Milo,LS1 6DN,53.796476,-1.5401069,Bar,0113 2457101,
Mook,LS1 6NJ,53.795755,-1.5419517,Bar,0113 2459967,
BRB,LS1 7BT,53.795256,-1.5408793,Bar,0113 243 0315,www.barroombar.com
The Reform Bar,LS1,53.796305,-1.5641256,Bar,0113 244 4080,
Revolution Electric Press,LS2 3AW,53.802282,-1.5472707,Bar,0113 3804992,
Revolution Call Lane,LS1 6DT,53.795375,-1.5413182,Bar,0113 2432778,
Norman Bar,LS1 6DT,53.795375,-1.5413182,Bar,0113 2343988,
